Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000104428	2	0	5	0	8	6	9
ENSMUSG00000102272	3	8	9	0	1	8	14
ENSMUSG00000065625	4	0	5	3	0	1	9
ENSMUSG00000079671	50	43	87	51	24	50	85
ENSMUSG00000103411	12	2	20	6	8	14	26
ENSMUSG00000061024	32	88	80	173	130	35	83
ENSMUSG00000025911	28	64	31	101	38	15	65
ENSMUSG00000081441	2	1	0	0	2	1	0
ENSMUSG00000067879	14	16	22	9	9	12	15
ENSMUSG00000099827	2	1	1	0	6	0	4
ENSMUSG00000025912	62	47	76	24	32	54	61
ENSMUSG00000123215	0	0	1	6	0	7	9
ENSMUSG00000045210	283	555	628	922	788	253	503
ENSMUSG00000097893	19	33	48	35	35	36	51
ENSMUSG00000128816	1	4	10	4	0	0	6
ENSMUSG00000025915	343	595	926	1326	1203	305	638
ENSMUSG00000046334	2	15	8	23	18	2	13
ENSMUSG00002075801	0	6	7	0	1	0	3
ENSMUSG00000098234	61	77	92	188	163	95	126
ENSMUSG00000046101	35	35	46	35	27	34	51
ENSMUSG00000093178	0	0	0	0	0	0	0
ENSMUSG00000099032	10	18	26	15	12	14	13
ENSMUSG00000104025	0	0	0	0	0	0	0
ENSMUSG00000025916	11	15	20	29	29	5	13
ENSMUSG00000087199	7	0	1	0	0	4	0
ENSMUSG00000121270	21	39	35	45	47	28	41
ENSMUSG00000119658	0	0	2	0	0	0	0
ENSMUSG00000025917	151	410	333	698	529	96	318
ENSMUSG00000056763	254	353	410	442	447	278	404
ENSMUSG00000137212	10	9	12	5	4	8	10
ENSMUSG00000102356	0	0	0	0	0	0	0
ENSMUSG00000067851	343	687	626	1152	986	338	641
ENSMUSG00002076532	7	3	2	3	15	6	6
ENSMUSG00000102556	30	18	32	21	12	30	28
ENSMUSG00000127523	0	9	1	3	3	0	3
ENSMUSG00000123573	0	0	9	0	0	3	8
ENSMUSG00000042501	53	80	89	72	54	52	100
ENSMUSG00000103810	11	14	8	5	8	8	19
ENSMUSG00000130625	12	5	9	6	8	6	9
ENSMUSG00000083422	6	11	18	4	7	5	27
ENSMUSG00000119312	0	1	2	0	0	0	2
ENSMUSG00000137678	1	0	0	1	0	5	0
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000103448	6	1	28	12	4	21	34
ENSMUSG00000100212	4	0	1	0	0	0	0
ENSMUSG00000125508	0	0	5	0	0	1	4
ENSMUSG00000100648	0	0	0	0	2	1	6
ENSMUSG00000130062	0	1	4	2	1	0	7
ENSMUSG00002076499	0	0	2	0	0	0	0
ENSMUSG00000048960	110	222	200	165	177	101	242
ENSMUSG00000127757	7	1	5	0	0	0	2
ENSMUSG00000127802	4	8	3	0	1	18	1
ENSMUSG00000077318	0	0	0	0	0	2	2
ENSMUSG00000101827	0	4	0	0	0	0	3
ENSMUSG00000122491	8	1	5	4	2	9	16
ENSMUSG00000103494	16	19	24	3	2	10	35
ENSMUSG00000143092	5	3	3	2	0	1	11
ENSMUSG00000057715	62	57	84	37	51	78	98
ENSMUSG00000103825	5	16	9	2	12	11	14
ENSMUSG00000099845	3	0	0	0	0	0	4
ENSMUSG00000139014	0	0	0	0	0	0	0
