gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000102693	4933401J01Rik	0.902013666440407	1.75294648310959	2.59885158226279	-0.128402669779067	1.12592011511197	2.03125019458642	0.1953310767395
ENSMUSG00000051951	Xkr4	0.623543619163108	1.1806879750173	1.24175658038162	-1.05752329849741	0.856387358794773	1.74522464621063	-0.270619406063044
ENSMUSG00000103377	Gm37180	-0.192293828111097	0.782052229697054	0.646216891709045	-1.15504728400155	-0.451707908213773	1.74861529474185	-0.456585012290549
ENSMUSG00000104017	Gm37363	0.193860186234904	0.884568864706683	1.79657983868612	-0.74714406110682	1.518065637096	1.73025585958293	0.241140035565863
ENSMUSG00000103025	Gm37686	1.51114386687226	1.58600207649813	2.25382937345952	-0.105511721692974	2.54807109716038	2.05730575936598	0.675214092925927
ENSMUSG00000103201	Gm37329	0.954190783570859	1.37471436102524	2.04047738245016	-0.205842777958299	1.3239554440785	2.75709454685331	-0.100696923705438
ENSMUSG00000103161	Gm38148	-0.269542623963055	0.272795878132552	0.0932842425959031	-0.519747166862533	0.135680002034899	1.17426519018514	-0.413737608068747
ENSMUSG00000102331	Gm19938	0.967186492778357	0.684009937489307	1.93778975094455	0.376221366097489	1.0008748423584	1.74880641059963	0.242873813417152
ENSMUSG00000142494	ENSMUSG00000142494	0.700208310877013	2.636769924134	2.3458218071796	-0.482857358262372	2.24638442956629	2.00319478878939	0.337017584032829
ENSMUSG00000102343	Gm37381	0.30270683242389	1.93390175482569	1.66038117737162	-0.409231474883679	0.797908257214701	0.898722576710711	0.528227872129172
ENSMUSG00000025900	Rp1	0.11393311257266	0.977012688587713	1.25343696870022	-0.628277751882525	0.935801520356826	1.18946212374449	-1.17006362204777
ENSMUSG00000135717	ENSMUSG00000135717	-1.25295168378687	0.769719479970842	0.992739971478812	-2.60744166024932	0.741234614796923	1.3587069671879	-0.143694996435624
ENSMUSG00000025902	Sox17	2.02286820391027	1.13413384599512	1.6369346296781	0.388228186979635	0.543101816154106	1.81642933356491	1.63430257120128
ENSMUSG00000104238	Gm37587	0.887065251896153	0.824978653652078	1.52699663735127	-0.379119564021391	0.0633245701477634	0.735458044530002	0.166421386211297
ENSMUSG00000102269	Gm7357	-1.81034127471446	-0.145939590919919	0.574212334018053	-1.88087098517729	-3.01993187226399	0.234908011218991	-1.76795036580567
ENSMUSG00000104328	Gm37323	-0.538437912079957	0.164583674221326	0.842691033706529	-0.734685703081265	0.190747725696124	1.23792971447207	-1.32576758364005
ENSMUSG00000131850	ENSMUSG00000131850	-1.85640301046222	0.696288357595098	0.0164623161428956	-1.11179826567292	-0.31144981380773	1.1968907305815	-0.287740593332568
ENSMUSG00000098104	Gm6085	0.356618737113749	1.19540027414964	1.38492715377428	0.0544140944865497	0.541580667035099	0.644884559509265	0.303060481406376
ENSMUSG00000102175	Gm6119	-0.120742992623011	1.31910376176219	1.98427076093862	-0.826885474625453	-0.449578279911567	2.18931690193487	-0.719828657302621
