Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
clean_SRR9127063_2 - nextera_transposase_sequence	(1, 0.00017853181231415428)	(2, 0.0003739062484315307)	(3, 0.0005254898626605296)	(4, 0.0007444439721024169)	(5, 0.001034137101517837)	(6, 0.0014080433499493678)	(7, 0.002021114856386652)	(8, 0.0023579673324510943)	(9, 0.0028026126008561577)	(10, 0.003395472958729576)	(11, 0.003823275603331417)	(12, 0.004345396941231303)	(13, 0.005002259269556965)	(14, 0.005490695359850405)	(15, 0.0062182967081496)	(16, 0.0079092961379931)	(17, 0.01010557428193326)	(18, 0.01200205372217607)	(19, 0.013999588905238211)	(20, 0.015670377186517842)	(21, 0.017859918280936717)	(22, 0.020756849575090917)	(23, 0.02402768711767665)	(24, 0.02763200861156618)	(25, 0.03268142722777217)	(26, 0.036895451703338335)	(27, 0.041476645377814744)	(28, 0.04566372165529576)	(29, 0.05016743926027735)	(30, 0.05449599357770543)	(31, 0.05907718725218184)	(32, 0.06416365964075492)	(33, 0.06992046845669624)	(34, 0.07585580908495171)	(35, 0.08201010382264906)	(36, 0.08790839067853744)	(37, 0.09431532477328312)	(38, 0.10028771917390568)	(39, 0.10660707162487462)	(40, 0.11457700120855932)	(41, 0.12151616221548682)	(42, 0.12937493048207024)	(43, 0.1376817125418194)	(44, 0.14535184342180674)	(45, 0.1559795390416399)	(46, 0.1664017546510737)	(47, 0.16645901957200468)	(48, 0.16650281039389306)	(49, 0.16683629434519684)	(50, 0.1668767166423246)	(51, 0.16691377041469166)	(52, 0.16694745566229813)	(53, 0.1669777723851439)	(54, 0.16703166878131423)	(55, 0.16739546945546382)	(56, 0.16747968257447993)	(57, 0.16755379011921412)	(58, 0.16760768651538444)	(59, 0.16765147733727281)	(60, 0.16769526815916116)	(61, 0.16802538358570432)	(62, 0.1681365449028056)	(63, 0.1681904412989759)	(64, 0.16826118031894943)	(65, 0.16836223606176878)	(66, 0.16848013442839133)	(67, 0.16876309050828545)	(68, 0.16886077772634414)	(69, 0.16898204461772734)	(70, 0.1690393095386583)	(71, 0.16915047085575957)	(72, 0.16923805249953633)	(73, 0.1695311141537124)	(74, 0.1696085902232072)
clean_SRR9127063_2 - polya	(1, 0.011830258959383205)	(2, 0.01476087550114385)	(3, 0.018375302569315313)	(4, 0.021565295517645577)	(5, 0.024357802544219802)	(6, 0.02759495483919909)	(7, 0.031054429768380912)	(8, 0.0342915820633602)	(9, 0.038465184241798636)	(10, 0.04213687623090105)	(11, 0.046428376775962045)	(12, 0.05010680581458575)	(13, 0.053697653209432705)	(14, 0.05728850060427966)	(15, 0.06083892570199888)	(16, 0.06445335277017034)	(17, 0.0686370605228907)	(18, 0.07250412694811051)	(19, 0.07814977444695055)	(20, 0.08180462381224975)	(21, 0.08536852300901154)	(22, 0.08882126088867208)	(23, 0.09242895090732225)	(24, 0.09610401142118531)	(25, 0.0999171814502348)	(26, 0.10377077377641201)	(27, 0.10765805135019567)	(28, 0.1114139564583142)	(29, 0.11519680976451789)	(30, 0.11859901977276875)	(31, 0.12204165207814735)	(32, 0.12585145358243618)	(33, 0.12999810756278948)	(34, 0.13416834121646726)	(35, 0.13826446732541087)	(36, 0.1421247967011094)	(37, 0.14590091295779178)	(38, 0.14971408298684127)	(39, 0.15396852975953518)	(40, 0.15787938700664333)	(41, 0.16189803704609212)	(42, 0.1660750077492912)	(43, 0.17008692073921872)	(44, 0.17434473603667328)	(45, 0.1786699218293407)	(46, 0.18339259354376417)	(47, 0.18781209802972965)	(48, 0.19239329170420608)	(49, 0.19638836207033036)	(50, 0.20067312556587005)	(51, 0.20470524970436144)	(52, 0.20858242170386315)	(53, 0.21255728092142356)	(54, 0.21670393490177686)	(55, 0.22089774822877914)	(56, 0.22475807760447766)	(57, 0.22882725551533611)	(58, 0.2329435927728436)	(59, 0.23698245396085627)	(60, 0.24093373350509217)	(61, 0.24477048320746617)	(62, 0.24872176275170207)	(63, 0.2527875721377999)	(64, 0.25683653890009445)	(65, 0.26110782829659157)	(66, 0.2651904803064926)	(67, 0.26921923592022334)	(68, 0.2734736826929173)	(69, 0.27750917535616926)	(70, 0.2815749847422671)	(71, 0.2853005731275398)	(72, 0.2894000677612441)	(73, 0.29318292106744775)	(74, 0.29723188782974236)
clean_SRR9127293_1 - nextera_transposase_sequence	(1, 5.9419118695631504e-05)	(2, 0.00010893505094199109)	(3, 0.000161752045338108)	(4, 0.00021126797758446757)	(5, 0.00029049346917864294)	(6, 0.0003928263958211194)	(7, 0.000528169943961169)	(8, 0.000647008181352432)	(9, 0.0007922549159417534)	(10, 0.0009375016505310748)	(11, 0.0010728451986711245)	(12, 0.0012015866225116593)	(13, 0.0014920800916903023)	(14, 0.0017429608150718574)	(15, 0.00216879783239055)	(16, 0.0034397067600471128)	(17, 0.005176065450819456)	(18, 0.0068464028985966525)	(19, 0.00851674034637385)	(20, 0.010117755489006142)	(21, 0.012180919332604458)	(22, 0.015056144465043072)	(23, 0.01848924910079067)	(24, 0.022268965262262786)	(25, 0.026824431028927866)	(26, 0.03127096174465096)	(27, 0.03579011582766871)	(28, 0.03978440102887505)	(29, 0.04439268378993625)	(30, 0.04892834318370279)	(31, 0.053589442939160105)	(32, 0.05831326287546281)	(33, 0.06349593045058177)	(34, 0.0688139415738408)	(35, 0.07379854541997433)	(36, 0.0792287926563251)	(37, 0.0848108887515647)	(38, 0.09019162005566911)	(39, 0.09570109278361405)	(40, 0.10171232695832211)	(41, 0.1077367653816292)	(42, 0.11353012945445326)	(43, 0.11991768471423365)	(44, 0.1260444560641832)	(45, 0.13251453787770753)	(46, 0.13940385458425103)	(47, 0.13944016626789835)	(48, 0.13944676839219788)	(49, 0.13954580025669058)	(50, 0.13957550981603842)	(51, 0.1395920151267872)	(52, 0.13961182149968573)	(53, 0.13962832681043452)	(54, 0.1396679395562316)	(55, 0.13972075655062774)	(56, 0.13973726186137653)	(57, 0.13976697142072433)	(58, 0.1397768746071736)	(59, 0.13979668098007214)	(60, 0.13981318629082093)	(61, 0.1398924117824151)	(62, 0.13993202452821218)	(63, 0.13996173408756002)	(64, 0.13996833621185953)	(65, 0.13999804577120734)	(66, 0.14001125001980638)	(67, 0.1400772712628015)	(68, 0.14011688400859862)	(69, 0.14016970100299472)	(70, 0.14019941056234253)	(71, 0.1402489264945889)	(72, 0.14028853924038598)	(73, 0.1403644636698304)	(74, 0.14043048491282556)
clean_SRR9127293_1 - polya	(1, 0.011078364574585518)	(2, 0.013742321729439665)	(3, 0.016733084037119785)	(4, 0.019278202954582668)	(5, 0.021645064515958656)	(6, 0.02434533335446013)	(7, 0.027352600972889038)	(8, 0.030029762376342212)	(9, 0.03325159903450534)	(10, 0.036265468777233766)	(11, 0.03989333607981704)	(12, 0.0427652601501059)	(13, 0.045868258570877764)	(14, 0.049185826031383856)	(15, 0.052275620203556694)	(16, 0.05505841559580211)	(17, 0.058640068028288785)	(18, 0.06152519634717667)	(19, 0.06572744846381771)	(20, 0.0685201470425124)	(21, 0.0715670274067384)	(22, 0.07474595025695467)	(23, 0.07770040088098747)	(24, 0.08078029186671103)	(25, 0.08438835279639577)	(26, 0.0876101894545589)	(27, 0.0909970792202099)	(28, 0.09452591465830046)	(29, 0.09787649274030412)	(30, 0.10079133061853982)	(31, 0.10386131841781411)	(32, 0.10712606888392409)	(33, 0.110364410852836)	(34, 0.11403519196336613)	(35, 0.11728343711872732)	(36, 0.12075615450027201)	(37, 0.12386245398319363)	(38, 0.12738798835913442)	(39, 0.13067254519814295)	(40, 0.1339703062857505)	(41, 0.13725816418690878)	(42, 0.14082991343294618)	(43, 0.14412767452055372)	(44, 0.1475079621619052)	(45, 0.1512051517696334)	(46, 0.15513011466569485)	(47, 0.15867215435238444)	(48, 0.16264003105639271)	(49, 0.16617216755663303)	(50, 0.16981323910781532)	(51, 0.17321993524636486)	(52, 0.17683459830034912)	(53, 0.18066052933191784)	(54, 0.18440393380974263)	(55, 0.18815394041186692)	(56, 0.19184122683314583)	(57, 0.19565725467826528)	(58, 0.19931153047804662)	(59, 0.20308794557736898)	(60, 0.2063725024163775)	(61, 0.21035028230683506)	(62, 0.2138857198692251)	(63, 0.2175994147877021)	(64, 0.2211150459771936)	(65, 0.22499379400315844)	(66, 0.22888574627772232)	(67, 0.23245419446160998)	(68, 0.23605565326699518)	(69, 0.23976274606117265)	(70, 0.24327837725066417)	(71, 0.2470646955364358)	(72, 0.25085431488435717)	(73, 0.25473306291032205)	(74, 0.25839063977225313)
clean_SRR9127293_2 - nextera_transposase_sequence	(1, 4.9515932246359586e-05)	(2, 9.573080234296187e-05)	(3, 0.00015184885888883608)	(4, 0.00019476266683568104)	(5, 0.00028389134487912833)	(6, 0.00037632108507233285)	(7, 0.0005215678196616543)	(8, 0.0006734166785504905)	(9, 0.0008450719103378703)	(10, 0.001013426079975493)	(11, 0.0011718770631638435)	(12, 0.0013303280463521942)	(13, 0.0016472300127288956)	(14, 0.0019047128604099655)	(15, 0.002343754126327687)	(16, 0.003627867302583279)	(17, 0.005417042987751739)	(18, 0.00714349849207481)	(19, 0.008853448685649095)	(20, 0.010474270201179931)	(21, 0.012590251039174365)	(22, 0.015564508036105698)	(23, 0.019050429666249414)	(24, 0.022869758573518615)	(25, 0.027487944521029085)	(26, 0.03206651772274247)	(27, 0.036678101545953426)	(28, 0.040738407990154914)	(29, 0.04545232474000835)	(30, 0.05010682237116615)	(31, 0.05491316886121279)	(32, 0.05984825677509996)	(33, 0.06526860082500145)	(34, 0.0707549661178981)	(35, 0.0758650103257224)	(36, 0.08153953616115521)	(37, 0.08741212572557346)	(38, 0.09302723244231063)	(39, 0.09877768270718787)	(40, 0.10505630291602626)	(41, 0.11137453587066175)	(42, 0.11753761890425864)	(43, 0.12420906550891815)	(44, 0.1307220611303893)	(45, 0.13756846402898595)	(46, 0.144926531560795)	(47, 0.14495294005799306)	(48, 0.14497934855519112)	(49, 0.1450651761710848)	(50, 0.1450882836061331)	(51, 0.1451047889168819)	(52, 0.14512129422763068)	(53, 0.14514770272482874)	(54, 0.14518071334632632)	(55, 0.14524673458932147)	(56, 0.14526654096222)	(57, 0.14527974521081904)	(58, 0.14529955158371757)	(59, 0.1453523685781137)	(60, 0.1453688738888625)	(61, 0.14547120681550496)	(62, 0.14550421743700254)	(63, 0.14555043230709913)	(64, 0.1455768408042972)	(65, 0.14561975461224402)	(66, 0.14565936735804114)	(67, 0.14572868966318603)	(68, 0.1457683024089831)	(69, 0.14581781834122948)	(70, 0.14586073214917633)	(71, 0.14589704383282365)	(72, 0.14595316188936952)	(73, 0.14602578525666418)	(74, 0.14608520437535982)
clean_SRR9127293_2 - polya	(1, 0.010824182789054206)	(2, 0.013326387898570245)	(3, 0.016095979042216622)	(4, 0.01839021723629795)	(5, 0.020813196854219815)	(6, 0.02346394976047493)	(7, 0.026174121785425677)	(8, 0.02915167984450677)	(9, 0.03226128038957815)	(10, 0.035195924640712396)	(11, 0.03841446023672577)	(12, 0.04125337368551705)	(13, 0.04407578182355955)	(14, 0.047390048221915886)	(15, 0.05024876804360571)	(16, 0.0532263261026868)	(17, 0.05657030206039095)	(18, 0.059455430379278834)	(19, 0.06379962816835945)	(20, 0.06671776710874491)	(21, 0.06958639011688401)	(22, 0.07257715242456413)	(23, 0.07552169986214764)	(24, 0.07887557900630107)	(25, 0.08226576983410182)	(26, 0.08533575763337611)	(27, 0.08839584224620113)	(28, 0.09150214172912276)	(29, 0.09478669856813128)	(30, 0.09771143963281625)	(31, 0.10070220194049638)	(32, 0.10404287683605076)	(33, 0.10751559421759545)	(34, 0.11107744027718358)	(35, 0.11467559802041905)	(36, 0.11821763770710864)	(37, 0.12151209773256642)	(38, 0.1252257926510434)	(39, 0.12877773552418226)	(40, 0.13232307627302162)	(41, 0.13578919153026678)	(42, 0.13922229616601436)	(43, 0.1428468624064479)	(44, 0.14622715004779938)	(45, 0.14968666318074503)	(46, 0.15339045491277273)	(47, 0.15662879688168466)	(48, 0.16068580226373638)	(49, 0.1641486164588318)	(50, 0.1678986230609561)	(51, 0.17159911373083403)	(52, 0.17525008846846563)	(53, 0.17905291206498603)	(54, 0.18300758452039528)	(55, 0.18657603270428294)	(56, 0.19074197313727664)	(57, 0.19423449689171987)	(58, 0.1980208151774915)	(59, 0.2017873270903646)	(60, 0.2054217965172474)	(61, 0.20906616913057946)	(62, 0.2128359821056023)	(63, 0.21666521419932078)	(64, 0.22029968362620356)	(65, 0.2244194091891007)	(66, 0.22796474993794003)	(67, 0.23162232679987113)	(68, 0.2353591291533964)	(69, 0.23922797399291196)	(70, 0.24311002308102656)	(71, 0.24700857747988994)	(72, 0.2507453798334152)	(73, 0.2546637406051771)	(74, 0.258351027026456)
clean_SRR9127308_1 - nextera_transposase_sequence	(1, 5.7854455274609406e-05)	(2, 0.0001395313333093521)	(3, 0.00022801461784699)	(4, 0.0003096914958817327)	(5, 0.00046964204869977044)	(6, 0.0005989637722547798)	(7, 0.000728285495809789)	(8, 0.0008371879998561126)	(9, 0.001017557772182836)	(10, 0.0012047339510124547)	(11, 0.001402119739596416)	(12, 0.0015586670891630063)	(13, 0.001728827251735387)	(14, 0.002014696324856986)	(15, 0.0023822422760133286)	(16, 0.003246655901881022)	(17, 0.004492228291910848)	(18, 0.005744607088443569)	(19, 0.007027614714239319)	(20, 0.008324235153040859)	(21, 0.009899918258461104)	(22, 0.012067758729633232)	(23, 0.014330888891845894)	(24, 0.01704324188324964)	(25, 0.020398800289176986)	(26, 0.0234446671992226)	(27, 0.026589227003560194)	(28, 0.029641900320108702)	(29, 0.03276944410818906)	(30, 0.035811907814983224)	(31, 0.03932061036722571)	(32, 0.04273402322842766)	(33, 0.046453724382259906)	(34, 0.050078135845051615)	(35, 0.053991819584216366)	(36, 0.057864664884363745)	(37, 0.06173410698125968)	(38, 0.06556271063913825)	(39, 0.06965336094737827)	(40, 0.07405370275150004)	(41, 0.07829409400280377)	(42, 0.08263317814839947)	(43, 0.08726493777361967)	(44, 0.09163805395172984)	(45, 0.0964025385037565)	(46, 0.10144608572240187)	(47, 0.10148352095816779)	(48, 0.10148352095816779)	(49, 0.10152435939718517)	(50, 0.10153456900693951)	(51, 0.10154477861669385)	(52, 0.10155498822644819)	(53, 0.10158221385245977)	(54, 0.10158902025896267)	(55, 0.10162985869798004)	(56, 0.10165708432399162)	(57, 0.1016775035435003)	(58, 0.1016911163565061)	(59, 0.10171493877926623)	(60, 0.10172855159227202)	(61, 0.1017557772182836)	(62, 0.10176939003128939)	(63, 0.10179321245404953)	(64, 0.10181363167355821)	(65, 0.10185447011257558)	(66, 0.10186127651907848)	(67, 0.10189530855159296)	(68, 0.10191572777110164)	(69, 0.10193614699061032)	(70, 0.10196677581987336)	(71, 0.10199400144588493)	(72, 0.10202122707189651)	(73, 0.10208248473042257)	(74, 0.10210290394993125)
clean_SRR9127308_1 - polya	(1, 0.011989485054849936)	(2, 0.01469503163975079)	(3, 0.017332514159622687)	(4, 0.020102721606301045)	(5, 0.02254962474409188)	(6, 0.02535386422328471)	(7, 0.028498424027622305)	(8, 0.03131287311656948)	(9, 0.03450167456317589)	(10, 0.037350155684637544)	(11, 0.040882680659640167)	(12, 0.04374137139085616)	(13, 0.046882527991942306)	(14, 0.04997603974750818)	(15, 0.05318866361687473)	(16, 0.056217514510663105)	(17, 0.05961731455885927)	(18, 0.06246239247706947)	(19, 0.06635225379347409)	(20, 0.06929942780922772)	(21, 0.0720492160363974)	(22, 0.07472073058878377)	(23, 0.07748413162895923)	(24, 0.08089414128690973)	(25, 0.08433137657087182)	(26, 0.08756441965974705)	(27, 0.09046054562672898)	(28, 0.0934996061302717)	(29, 0.09667819796712376)	(30, 0.09942798619429344)	(31, 0.10251809474660786)	(32, 0.10567626736395125)	(33, 0.10887187521706056)	(34, 0.11231932011077699)	(35, 0.11575315219148763)	(36, 0.11905085614214037)	(37, 0.12252552666186838)	(38, 0.12593553631981888)	(39, 0.12922983706722016)	(40, 0.13284403892025753)	(41, 0.1361859845131791)	(42, 0.13961981659388972)	(43, 0.14269631233319838)	(44, 0.1459497746415823)	(45, 0.14962523415314571)	(46, 0.15345043460777283)	(47, 0.15664944566413358)	(48, 0.1603963724439774)	(49, 0.16379617249217357)	(50, 0.1674512127842283)	(51, 0.17085441603567592)	(52, 0.17421678084810616)	(53, 0.17806920692874487)	(54, 0.18149963580620404)	(55, 0.18535206188684275)	(56, 0.18898327975613735)	(57, 0.1928527218530333)	(58, 0.1967630023889466)	(59, 0.20011175438837103)	(60, 0.20357621529834471)	(61, 0.20713936910261035)	(62, 0.2105289595410522)	(63, 0.21413635498758665)	(64, 0.21785945934467033)	(65, 0.22153151565298232)	(66, 0.22491429968492124)	(67, 0.22849106630219268)	(68, 0.2319112855698975)	(69, 0.2353485208538596)	(70, 0.2389354970808854)	(71, 0.24238634517785326)	(72, 0.24606520789266814)	(73, 0.2494922335668759)	(74, 0.2530519841678901)
clean_SRR9127308_2 - nextera_transposase_sequence	(1, 6.466086177750463e-05)	(2, 0.0001429345365607997)	(3, 0.0002484338373556757)	(4, 0.0003369171218933136)	(5, 0.0005138836909685894)	(6, 0.0006466086177750463)	(7, 0.0007827367478329508)	(8, 0.0008916392518792743)	(9, 0.0010890250404632358)	(10, 0.0012932172355500926)	(11, 0.0015280382598999779)	(12, 0.0017118112354781488)	(13, 0.0019432290565765864)	(14, 0.002263130162212662)	(15, 0.00266470814588348)	(16, 0.0035631538042656496)	(17, 0.00485977424306719)	(18, 0.006176813901377416)	(19, 0.0075449016084593555)	(20, 0.008899376502535505)	(21, 0.010556736485990493)	(22, 0.012850495477466183)	(23, 0.015283785802251225)	(24, 0.01808462207819261)	(25, 0.02156269580117207)	(26, 0.024734481231521246)	(27, 0.02801516916591674)	(28, 0.03122438983203184)	(29, 0.034535706595690364)	(30, 0.037792572107325735)	(31, 0.04152928927741521)	(32, 0.045180926366218496)	(33, 0.04912864213789773)	(34, 0.05305934189331972)	(35, 0.05723847548609739)	(36, 0.061376770639857685)	(37, 0.06547082415134917)	(38, 0.06958870008560077)	(39, 0.07398563868647108)	(40, 0.07882499371002959)	(41, 0.08342952770923821)	(42, 0.08817699624500763)	(43, 0.09329541393518484)	(44, 0.09806330169046294)	(45, 0.10343355642124727)	(46, 0.10907266420889597)	(47, 0.10910669624141044)	(48, 0.10913051866417058)	(49, 0.1091815667129423)	(50, 0.10920879233895388)	(51, 0.109232614761714)	(52, 0.10924282437146834)	(53, 0.10925984038772558)	(54, 0.10926664679422848)	(55, 0.10932450124950309)	(56, 0.10935513007876611)	(57, 0.10941298453404073)	(58, 0.10943340375354942)	(59, 0.10947424219256678)	(60, 0.10951508063158416)	(61, 0.10954911266409863)	(62, 0.10960016071287035)	(63, 0.10963759594863627)	(64, 0.10968183759090509)	(65, 0.10972948243642536)	(66, 0.10977032087544272)	(67, 0.10982817533071734)	(68, 0.10988262658274049)	(69, 0.10993707783476366)	(70, 0.10998131947703248)	(71, 0.11001535150954696)	(72, 0.11004598033880998)	(73, 0.11013446362334763)	(74, 0.11017870526561645)
clean_SRR9127308_2 - polya	(1, 0.011240780339531463)	(2, 0.013650248241556372)	(3, 0.01655658381829263)	(4, 0.019095373443872552)	(5, 0.021542276581663383)	(6, 0.02403001815847159)	(7, 0.02701803061324259)	(8, 0.02977122204366371)	(9, 0.032888556221989725)	(10, 0.03576085976621151)	(11, 0.03911641817213885)	(12, 0.04216568828543591)	(13, 0.04517752316296705)	(14, 0.04851266234938571)	(15, 0.05138496589360749)	(16, 0.05416538295004019)	(17, 0.05755157018523057)	(18, 0.060672307566808026)	(19, 0.06493992444412333)	(20, 0.06755698774448654)	(21, 0.07041567847570254)	(22, 0.07339007811746776)	(23, 0.0763032201007069)	(24, 0.07975747140092623)	(25, 0.08302454652231595)	(26, 0.08603638139984708)	(27, 0.08918774761068757)	(28, 0.09226084014674477)	(29, 0.09560959214616921)	(30, 0.09842404123511639)	(31, 0.10170813237276334)	(32, 0.10523385094126306)	(33, 0.10865066700571646)	(34, 0.11214915994820461)	(35, 0.11549110554112617)	(36, 0.11887048636981364)	(37, 0.12254254267812562)	(38, 0.125928729913316)	(39, 0.12891333916483555)	(40, 0.13252073461137)	(41, 0.13596137309858355)	(42, 0.1394020115857971)	(43, 0.14268950592669546)	(44, 0.1465010935683168)	(45, 0.1497885879092152)	(46, 0.15342320898176123)	(47, 0.15719055498111376)	(48, 0.1613526725576342)	(49, 0.1647558758090818)	(50, 0.16802635413372294)	(51, 0.17142275097866766)	(52, 0.17498250157968187)	(53, 0.17855246179045042)	(54, 0.18223472770851673)	(55, 0.18579447830953094)	(56, 0.1895516146991291)	(57, 0.1931828325684237)	(58, 0.19692295294176462)	(59, 0.20055757401431068)	(60, 0.2042330335258741)	(61, 0.20820116851706202)	(62, 0.211645210207527)	(63, 0.2154057498003766)	(64, 0.21888722672660751)	(65, 0.22256949264467382)	(66, 0.22638108028629517)	(67, 0.23009057183037304)	(68, 0.23398383635002912)	(69, 0.23756740937380347)	(70, 0.24152533475523702)	(71, 0.24547645373016772)	(72, 0.249356105436818)	(73, 0.25296350088335245)	(74, 0.2567342500859564)
clean_SRR9127357_1 - nextera_transposase_sequence	(1, 0.00024129744462093216)	(2, 0.0004532479027339131)	(3, 0.0006945453473548453)	(4, 0.0009064958054678262)	(5, 0.0012586596435632408)	(6, 0.0017347329802477826)	(7, 0.0024912330768971916)	(8, 0.0029183947694018143)	(9, 0.003365121119578405)	(10, 0.004141185873899782)	(11, 0.004734647156616128)	(12, 0.005363976978397749)	(13, 0.006299819770373526)	(14, 0.006854151737745937)	(15, 0.007728039780427152)	(16, 0.009081261936071568)	(17, 0.011282285924167908)	(18, 0.01319636159974206)	(19, 0.015374560153887771)	(20, 0.017076685371348942)	(21, 0.019000543375759075)	(22, 0.02196784978934081)	(23, 0.024944938531758526)	(24, 0.027987242799749467)	(25, 0.033139269320034234)	(26, 0.037163067247902214)	(27, 0.04149663892224301)	(28, 0.04521392387991683)	(29, 0.04910076920408103)	(30, 0.05319304343380089)	(31, 0.05721031980911155)	(32, 0.0619090984266624)	(33, 0.06703503873671789)	(34, 0.07264357393601523)	(35, 0.077987986256741)	(36, 0.08311718734307515)	(37, 0.0892963583911382)	(38, 0.09502554231274601)	(39, 0.10157644185657645)	(40, 0.10948708510860863)	(41, 0.11634123684635457)	(42, 0.12402688653515913)	(43, 0.13242990700526916)	(44, 0.14042533044054653)	(45, 0.15141088572335626)	(46, 0.1623018784940848)	(47, 0.16234100780942876)	(48, 0.162396441006166)	(49, 0.1627844733833267)	(50, 0.16282034192239195)	(51, 0.1628920790005225)	(52, 0.1629083828819158)	(53, 0.16296381607865307)	(54, 0.16302903160422627)	(55, 0.16348880105951752)	(56, 0.16355401658509075)	(57, 0.16361271055810664)	(58, 0.16364205754461458)	(59, 0.16368770841251584)	(60, 0.1637333592804171)	(61, 0.1641898679594297)	(62, 0.1642811696952322)	(63, 0.16433008133941213)	(64, 0.1643463852208054)	(65, 0.16436921065475604)	(66, 0.16442138307521464)	(67, 0.16478332924214603)	(68, 0.16485506632027658)	(69, 0.16490723874073515)	(70, 0.16493332495096444)	(71, 0.16498223659514435)	(72, 0.16502462668676696)	(73, 0.16530831422301048)	(74, 0.16537352974858371)
clean_SRR9127357_1 - polya	(1, 0.0089019192407452)	(2, 0.011047510032104298)	(3, 0.013424615939248347)	(4, 0.015573467506886107)	(5, 0.01790818332240756)	(6, 0.020370069412796798)	(7, 0.02304064518502036)	(8, 0.025365578671705826)	(9, 0.028319841980172913)	(10, 0.030801292728234123)	(11, 0.03385337932506105)	(12, 0.03666090770098838)	(13, 0.03927931105275336)	(14, 0.041992276916599514)	(15, 0.04443785912559545)	(16, 0.046831268914132806)	(17, 0.05003987277233547)	(18, 0.0525865390459699)	(19, 0.05653533911942867)	(20, 0.05889288036890075)	(21, 0.06139389577463392)	(22, 0.06398947369244827)	(23, 0.06657526928142664)	(24, 0.0691447609890117)	(25, 0.07184794452402188)	(26, 0.07472720997807976)	(27, 0.07739778575030332)	(28, 0.0800911869564775)	(29, 0.08261502779616131)	(30, 0.08514212941212378)	(31, 0.08784531294713395)	(32, 0.09048654173284956)	(33, 0.09347015202782459)	(34, 0.09634615670560381)	(35, 0.09907868722712193)	(36, 0.10209164450860493)	(37, 0.10470026553153393)	(38, 0.10747192536839598)	(39, 0.11032510461222457)	(40, 0.11332501878859291)	(41, 0.11633797607007591)	(42, 0.11906072426275804)	(43, 0.12219106949027285)	(44, 0.12493990389318427)	(45, 0.12792025341188065)	(46, 0.13115494348031262)	(47, 0.13432767879945)	(48, 0.13783301329901085)	(49, 0.14084597058049383)	(50, 0.14396653347917263)	(51, 0.14681645194672258)	(52, 0.1496239803226499)	(53, 0.15247063801392116)	(54, 0.15544120520378157)	(55, 0.1584085116173633)	(56, 0.16122908309840528)	(57, 0.16403008992177529)	(58, 0.16682131441630932)	(59, 0.16967775443641656)	(60, 0.17284070742671798)	(61, 0.17580475306402105)	(62, 0.17861880299250568)	(63, 0.18153067620935018)	(64, 0.18441972399224404)	(65, 0.1875207222332509)	(66, 0.1904815070942753)	(67, 0.1930151302627951)	(68, 0.19609982462240863)	(69, 0.19889757066949998)	(70, 0.20171814215054196)	(71, 0.20443436879066676)	(72, 0.20728102648193805)	(73, 0.20985377896580176)	(74, 0.21257326638220525)
clean_SRR9127357_2 - nextera_transposase_sequence	(1, 0.0002445582208995934)	(2, 0.00046955178412721934)	(3, 0.0007173707813054739)	(4, 0.0009325820156971162)	(5, 0.0013010497351858368)	(6, 0.0017999485058210075)	(7, 0.002579274036421045)	(8, 0.0030357827154336194)	(9, 0.0035151168283968225)	(10, 0.0044020479761926815)	(11, 0.005021595469138318)	(12, 0.005716140816493163)	(13, 0.006713938357763504)	(14, 0.007330225074430479)	(15, 0.00827258941896358)	(16, 0.00976928573086909)	(17, 0.012247475702651637)	(18, 0.014318068639601528)	(19, 0.016678870665352268)	(20, 0.018573381683254453)	(21, 0.02070919014577757)	(22, 0.024048225055126684)	(23, 0.027305740557509266)	(24, 0.030592603046399804)	(25, 0.03652395509728461)	(26, 0.041209690609720816)	(27, 0.04631932703838299)	(28, 0.050545293095527966)	(29, 0.05514624842471898)	(30, 0.06002110896131754)	(31, 0.06472966990770437)	(32, 0.07059580643301595)	(33, 0.07712714131917443)	(34, 0.08414107109457478)	(35, 0.09097239739837008)	(36, 0.09752003616592186)	(37, 0.10578610403232812)	(38, 0.11341958130067409)	(39, 0.12189433884891467)	(40, 0.13301358595914953)	(41, 0.14235244922123533)	(42, 0.15299236221850696)	(43, 0.16454855335008242)	(44, 0.17529281118827122)	(45, 0.19137822057090714)	(46, 0.20721255018008616)	(47, 0.20724515794287277)	(48, 0.20729733036333134)	(49, 0.20784514077814645)	(50, 0.20792992096139162)	(51, 0.2079918757106862)	(52, 0.20801796192091548)	(53, 0.20806361278881674)	(54, 0.20814839297206192)	(55, 0.208715768044549)	(56, 0.20883641676685946)	(57, 0.20890815384499)	(58, 0.2089831516993992)	(59, 0.2090516280012511)	(60, 0.20914619051333228)	(61, 0.20967117549419673)	(62, 0.20981791042673648)	(63, 0.20992225526765365)	(64, 0.2099939923457842)	(65, 0.2100787725290294)	(66, 0.21018311736994655)	(67, 0.21065592993035243)	(68, 0.2107765786526629)	(69, 0.21089070582241604)	(70, 0.21096570367682524)	(71, 0.21106352696518507)	(72, 0.2111548287009876)	(73, 0.21149068865768972)	(74, 0.21161459815627884)
