gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000000374.9	2.960985	3.374833	3.010165	5.076168	4.610573	0.809674	4.28818
ENSMUSG00000000378.16	0.715485	3.934201	8.968807	3.556543	12.935761	1.008703	5.435229
ENSMUSG00000000381.11	0.533701	0	0.328202	0	0.216876	0	0.557023
ENSMUSG00000000384.16	9.723359	15.220857	17.453499	15.098131	13.39302	5.335853	20.753444
ENSMUSG00000000385.9	0.112875	0.054517	0.590752	0.270016	0.315086	1.12175	0.377242
ENSMUSG00000000386.19	1.090454	1.151306	1.803546	1.863009	1.872812	0.272433	0.793011
ENSMUSG00000000392.18	2.922658	2.881134	4.135656	2.635875	5.6472	0.624176	3.480206
ENSMUSG00000000394.16	0.904027	0.082354	0.447543	0	0	0.053505	0.347909
ENSMUSG00000000399.11	13.792473	25.986011	15.174225	33.625735	31.506936	3.76475	24.847487
ENSMUSG00000000402.3	0.065655	0.323488	0.338559	0.188366	0.397578	0.124993	0.172277
ENSMUSG00000000409.15	2.167201	3.003867	2.370729	6.448732	3.561114	1.355015	2.221265
ENSMUSG00000000411.8	0.695572	0.15218	0.416644	0.114005	0.084204	0.20569	0.178253
ENSMUSG00000000416.17	0.640831	0.689556	0.865203	0.187854	2.012873	1.075762	1.625241
ENSMUSG00000000420.16	8.342182	10.01049	12.645192	29.137613	24.519824	3.067719	9.747304
ENSMUSG00000000435.2	0.147969	0	0.308068	0.059532	0.196435	0.056259	0.56446
ENSMUSG00000000439.10	1.751564	2.446831	1.586381	3.606565	2.813238	0.642513	2.407339
ENSMUSG00000000440.13	6.406885	6.715634	4.446171	18.637944	10.827805	0.513684	4.069228
ENSMUSG00000000441.18	4.311194	4.85855	6.610627	9.929797	12.161752	2.139012	6.227602
ENSMUSG00000000486.14	4.823215	8.68511	6.82821	22.728285	12.828014	1.878649	7.941841
ENSMUSG00000000489.8	2.533135	5.128565	1.816519	4.151232	2.590995	0.571301	3.373998
ENSMUSG00000000530.17	2.825076	6.36634	3.13535	9.97318	7.375921	0.66948	5.193119
ENSMUSG00000000531.6	0.63961	2.089019	0.745815	1.145338	1.125041	0.361826	1.321918
ENSMUSG00000000538.19	3.10842	2.415461	3.944959	2.574657	3.877718	0.620618	4.692732
ENSMUSG00000000544.15	0	0.338901	0	0.551919	0	0	0
ENSMUSG00000000552.11	2.094981	2.549984	1.87552	7.662137	2.750942	0.316665	2.438029
ENSMUSG00000000555.9	2.980391	5.566743	3.655427	7.931397	7.435483	1.092726	4.470683
ENSMUSG00000000560.10	1.500664	1.033161	1.385302	2.273706	0.755818	2.107728	3.027583
ENSMUSG00000000561.15	4.578153	2.826413	7.609208	8.487059	8.52367	0.464323	4.527521
ENSMUSG00000000562.6	1.209176	1.062889	1.431883	0.858124	1.319571	0.64933	1.301497
ENSMUSG00000000563.18	30.334511	63.781866	48.643314	96.525061	89.203557	12.9338	63.854759
ENSMUSG00000000567.6	0.533361	0.451489	0.598559	0.375254	0.861039	0.169493	0.373026
