Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000104428	2	1	9	0	16	14	17
ENSMUSG00000102272	8	14	11	1	1	22	33
ENSMUSG00000065625	4	1	6	3	5	1	13
ENSMUSG00000079671	86	76	164	90	54	108	173
ENSMUSG00000103411	30	7	29	14	12	34	36
ENSMUSG00000061024	55	189	159	360	278	79	185
ENSMUSG00000025911	39	109	60	181	72	29	130
ENSMUSG00000081441	3	6	10	9	12	6	14
ENSMUSG00000067879	26	29	44	21	18	23	30
ENSMUSG00000099827	5	1	1	0	14	0	5
ENSMUSG00000025912	107	89	139	45	65	108	124
ENSMUSG00000123215	2	1	4	12	1	14	15
ENSMUSG00000045210	510	1136	1209	1761	1518	488	984
ENSMUSG00000097893	39	76	84	86	71	64	105
ENSMUSG00000128816	2	9	13	9	0	5	8
ENSMUSG00000025915	616	1128	1786	2545	2283	600	1216
ENSMUSG00000046334	0	4	2	8	4	0	11
ENSMUSG00002075801	0	8	8	10	10	1	4
ENSMUSG00000098234	100	158	170	353	307	185	242
ENSMUSG00000046101	58	74	93	54	47	71	113
ENSMUSG00000093178	0	0	0	0	0	0	0
ENSMUSG00000099032	20	36	46	28	23	22	32
ENSMUSG00000104025	0	0	0	0	1	0	0
ENSMUSG00000025916	12	32	28	51	62	15	35
ENSMUSG00000087199	8	2	6	1	0	6	3
ENSMUSG00000121270	39	82	68	92	87	52	74
ENSMUSG00000119658	0	0	2	0	0	0	1
ENSMUSG00000025917	274	808	651	1328	1041	177	599
ENSMUSG00000056763	410	708	812	830	839	560	784
ENSMUSG00000137212	16	18	24	8	6	17	29
ENSMUSG00000102356	0	0	0	0	0	0	0
ENSMUSG00000067851	641	1342	1200	2178	1904	639	1218
ENSMUSG00002076532	8	5	5	6	21	9	16
ENSMUSG00000102556	51	39	62	32	26	57	58
ENSMUSG00000127523	1	13	3	8	2	1	7
ENSMUSG00000123573	1	4	15	3	2	12	13
ENSMUSG00000042501	85	157	161	126	110	87	204
ENSMUSG00000103810	19	27	16	10	16	16	35
ENSMUSG00000130625	18	9	24	16	12	18	16
ENSMUSG00000083422	9	22	35	10	15	7	52
ENSMUSG00000119312	0	1	2	0	0	2	3
ENSMUSG00000137678	2	0	0	2	1	5	2
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000103448	16	8	53	21	10	33	71
ENSMUSG00000100212	16	0	3	0	0	3	9
ENSMUSG00000125508	0	4	8	0	2	1	12
ENSMUSG00000100648	2	0	1	0	4	1	8
ENSMUSG00000130062	0	6	4	3	4	1	14
ENSMUSG00002076499	1	0	2	0	0	0	0
ENSMUSG00000048960	196	443	400	321	350	190	487
ENSMUSG00000127757	10	2	8	0	3	2	4
ENSMUSG00000127802	12	15	10	3	4	23	2
ENSMUSG00000077318	0	0	0	2	0	4	2
ENSMUSG00000101827	0	7	0	1	0	0	8
ENSMUSG00000122491	8	7	12	12	7	18	28
ENSMUSG00000103494	22	32	38	6	4	19	70
ENSMUSG00000143092	5	10	9	8	5	5	20
ENSMUSG00000057715	114	112	175	66	92	143	194
ENSMUSG00000103825	9	27	16	4	22	25	32
ENSMUSG00000099845	4	0	1	1	6	4	7
ENSMUSG00000139014	0	0	2	5	4	0	4
ENSMUSG00000138973	26	9	23	6	5	21	19
ENSMUSG00000103561	24	45	42	53	23	43	38
ENSMUSG00000134440	15	3	33	6	1	13	12
ENSMUSG00000101610	12	4	2	0	15	11	16
ENSMUSG00000141382	6	15	6	4	10	13	10
ENSMUSG00000118923	0	0	0	2	0	5	4
ENSMUSG00000098555	1	4	2	0	0	0	1
ENSMUSG00000143719	12	3	6	5	0	17	12
ENSMUSG00000097628	10	5	23	0	16	5	16
ENSMUSG00000098163	5	8	5	0	5	4	4
ENSMUSG00000097171	14	18	36	11	19	14	49
ENSMUSG00000101314	8	0	21	9	4	12	11
ENSMUSG00000016918	156	516	435	277	702	186	354
ENSMUSG00000127288	6	7	17	10	10	5	15
ENSMUSG00000025938	172	231	306	107	171	162	427
ENSMUSG00000104518	3	2	0	6	0	5	2
ENSMUSG00000141815	23	3	16	7	9	8	18
ENSMUSG00000069620	0	0	0	0	0	0	0
ENSMUSG00000099498	25	12	9	10	20	8	28
ENSMUSG00000042414	6	11	22	2	3	20	43
ENSMUSG00000005886	476	564	767	1237	1315	335	633
ENSMUSG00000103506	28	60	44	30	40	29	40
ENSMUSG00000103495	28	18	27	34	28	21	45
ENSMUSG00002076346	3	0	3	0	0	0	1
ENSMUSG00000102639	4	6	9	14	4	1	6
ENSMUSG00000104170	25	15	45	31	14	21	42
ENSMUSG00000134412	2	1	9	1	5	7	8
ENSMUSG00000087782	0	0	0	1	2	0	0
ENSMUSG00000103085	25	61	142	84	104	77	137
ENSMUSG00000102664	36	66	44	45	75	32	66
ENSMUSG00000134452	21	19	30	16	8	33	23
ENSMUSG00000101476	20	11	19	13	6	10	23
ENSMUSG00000134491	1	8	8	1	20	0	8
ENSMUSG00000122424	9	4	20	5	5	5	28
ENSMUSG00000101171	3	0	1	0	3	0	1
ENSMUSG00000126000	18	2	17	9	4	12	11
ENSMUSG00000025935	1451	3602	4124	7607	6153	789	2632
ENSMUSG00000120948	3	19	15	7	3	4	1
ENSMUSG00000131318	5	2	2	0	0	2	5
ENSMUSG00000025937	192	434	346	639	602	122	400
ENSMUSG00000102982	14	19	23	10	31	43	43
ENSMUSG00000067813	30	9	34	35	15	39	68
ENSMUSG00000077368	0	2	8	0	0	0	1
ENSMUSG00000097711	6	11	24	3	16	8	32
ENSMUSG00000134219	53	58	86	17	26	46	77
ENSMUSG00000102166	13	28	58	6	9	31	51
ENSMUSG00002075174	1	10	6	0	4	4	9
ENSMUSG00000104209	29	8	49	7	9	28	15
ENSMUSG00000025932	98	279	313	199	292	159	264
ENSMUSG00002075819	0	0	0	0	1	2	1
ENSMUSG00000102588	4	5	4	5	0	2	11
ENSMUSG00000127312	8	6	43	8	15	20	43
ENSMUSG00000127278	21	24	36	14	11	35	49
ENSMUSG00000140763	9	6	15	6	8	14	18
ENSMUSG00000140464	7	7	34	3	7	13	24
ENSMUSG00000134469	0	0	10	0	0	2	5
ENSMUSG00000054493	42	61	73	18	13	51	54
ENSMUSG00000025930	24	30	18	29	16	2	21
ENSMUSG00000103492	42	46	91	12	25	45	95
ENSMUSG00000081201	1	0	0	8	7	8	5
ENSMUSG00000082193	10	29	23	6	8	4	19
ENSMUSG00000032769	48	96	103	94	29	50	110
ENSMUSG00000088159	0	2	1	0	0	2	0
ENSMUSG00000125466	26	18	17	6	24	29	25
ENSMUSG00000073737	3	16	8	7	3	12	11
ENSMUSG00000092083	157	130	267	101	162	253	330
ENSMUSG00000128216	4	13	9	0	0	6	14
ENSMUSG00000102937	12	35	46	12	26	28	25
ENSMUSG00000104149	45	36	32	16	10	22	38
ENSMUSG00000137925	22	18	59	19	4	47	55
ENSMUSG00000088829	5	0	4	0	1	0	2
ENSMUSG00000132707	7	0	8	4	5	2	1
ENSMUSG00000077377	4	0	3	0	3	1	0
ENSMUSG00000101652	1	5	6	1	6	5	6
ENSMUSG00000100814	4	0	7	1	2	0	3
ENSMUSG00000132745	31	7	29	10	21	8	25
ENSMUSG00000132786	11	2	9	3	11	3	18
ENSMUSG00000025925	183	425	394	634	515	165	311
ENSMUSG00000104379	7	16	18	4	15	15	18
ENSMUSG00000032719	3	51	15	1	5	0	10
ENSMUSG00002076565	2	4	4	4	10	5	12
ENSMUSG00000137819	2	3	6	1	6	7	6
ENSMUSG00000100652	4	4	5	8	14	8	19
ENSMUSG00000067795	14	5	18	5	5	16	22
ENSMUSG00000136711	14	13	0	0	6	5	5
ENSMUSG00000043716	940	3223	1934	4843	3839	618	1868
ENSMUSG00000025921	98	198	202	254	229	80	171
ENSMUSG00000132226	7	1	0	4	10	0	19
ENSMUSG00000104165	25	20	39	8	18	39	21
ENSMUSG00000100868	8	9	22	2	9	21	2
ENSMUSG00000025920	170	372	175	386	290	136	330
ENSMUSG00000089982	12	14	28	11	9	16	16
ENSMUSG00000025939	192	364	560	743	699	260	348
ENSMUSG00000102457	0	10	8	14	15	19	15
ENSMUSG00000079658	224	505	447	934	699	169	383
ENSMUSG00000097744	30	25	38	46	14	3	30
ENSMUSG00000100959	4	6	8	9	4	16	24
ENSMUSG00000025940	167	513	359	745	512	125	386
ENSMUSG00000125087	4	5	18	5	14	7	10
ENSMUSG00000025779	49	64	39	72	50	31	52
ENSMUSG00000100093	0	0	1	0	0	4	0
ENSMUSG00000091020	14	1	10	12	0	2	33
ENSMUSG00000142287	26	17	25	22	7	17	49
ENSMUSG00000101640	0	0	7	0	1	2	1
ENSMUSG00000104133	12	6	24	1	22	32	9
ENSMUSG00000042686	110	439	64	265	142	64	336
ENSMUSG00000127806	6	27	12	5	1	11	37
ENSMUSG00000127769	8	14	10	1	3	2	15
ENSMUSG00000100110	12	30	13	10	14	30	44
ENSMUSG00000025777	116	190	180	86	100	184	262
ENSMUSG00000099899	20	3	33	9	24	7	22
ENSMUSG00000138285	9	9	11	2	2	11	32
ENSMUSG00000100272	1	0	7	0	1	0	5
ENSMUSG00000137468	13	12	5	3	3	10	17
ENSMUSG00000137506	9	5	5	5	4	9	10
ENSMUSG00000100398	0	0	0	0	0	0	0
ENSMUSG00000101589	18	10	15	8	18	30	18
ENSMUSG00000102048	7	14	6	3	2	28	16
ENSMUSG00000089534	4	0	0	1	4	9	5
ENSMUSG00000067780	35	57	85	76	45	74	94
ENSMUSG00000100053	18	31	3	27	26	36	27
ENSMUSG00000085125	101	41	131	24	56	116	105
ENSMUSG00000025776	101	135	247	124	319	170	145
ENSMUSG00000099895	7	6	8	8	10	27	22
ENSMUSG00000109887	29	13	49	13	20	22	77
ENSMUSG00000100554	10	10	21	2	3	8	34
ENSMUSG00000099473	7	0	0	0	1	1	3
ENSMUSG00000099591	32	15	18	8	7	12	23
ENSMUSG00000102001	0	3	0	0	0	0	6
ENSMUSG00000101717	2	2	5	1	2	0	8
ENSMUSG00000025774	42	52	43	19	36	47	72
ENSMUSG00000142595	16	21	8	6	6	47	32
ENSMUSG00000070977	1	0	5	0	1	8	3
ENSMUSG00000131994	4	6	6	1	3	5	7
ENSMUSG00000073735	1	0	1	4	1	0	1
ENSMUSG00000067773	2	2	6	3	0	6	5
ENSMUSG00000101685	12	0	2	7	1	10	4
ENSMUSG00000132263	14	1	5	6	6	7	14
ENSMUSG00000132383	4	12	10	6	9	14	36
ENSMUSG00000101306	2	10	5	7	2	12	17
ENSMUSG00000134916	17	1	6	0	4	0	3
ENSMUSG00000088800	0	0	0	0	2	0	2
ENSMUSG00000101644	0	0	0	0	0	0	0
ENSMUSG00000099433	3	3	4	0	3	1	7
ENSMUSG00000089787	20	20	31	2	15	15	23
ENSMUSG00000042596	7	2	11	0	6	12	16
ENSMUSG00000100720	10	11	24	9	2	12	34
ENSMUSG00000025927	42	37	39	21	24	51	84
ENSMUSG00000142982	1	0	0	0	0	1	1
ENSMUSG00000100538	18	18	16	3	19	17	32
ENSMUSG00000101117	1	0	2	0	4	0	0
ENSMUSG00000100204	13	17	29	12	11	7	42
ENSMUSG00002076883	2	0	1	1	0	2	1
ENSMUSG00000141106	3	4	9	0	17	13	14
ENSMUSG00000102597	15	23	26	6	14	8	57
ENSMUSG00000142065	1	2	3	2	2	1	7
ENSMUSG00000136536	26	16	12	12	1	25	35
ENSMUSG00000043760	92	178	254	85	107	173	327
ENSMUSG00000104095	21	50	28	14	15	25	85
ENSMUSG00000089914	10	14	22	7	9	6	11
ENSMUSG00000090142	6	7	21	6	8	18	10
ENSMUSG00000070175	7	6	5	0	3	0	2
ENSMUSG00000099906	18	46	14	22	30	27	51
ENSMUSG00000065559	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0
ENSMUSG00000133531	10	3	12	1	10	1	18
ENSMUSG00000025929	2	5	1	2	0	6	1
ENSMUSG00000041872	32	15	30	13	24	11	39
ENSMUSG00000041859	939	2555	3664	7153	5694	826	2320
ENSMUSG00000099714	0	12	9	8	6	9	18
ENSMUSG00000102121	16	20	12	5	9	20	11
ENSMUSG00000088858	2	0	2	0	0	0	2
ENSMUSG00000097934	3	4	27	2	5	0	25
ENSMUSG00000025931	69	80	144	76	186	58	104
ENSMUSG00000077314	3	0	3	0	0	2	0
ENSMUSG00000133875	3	2	6	0	0	5	6
ENSMUSG00000100929	1	0	13	0	0	2	0
ENSMUSG00000041809	21	61	75	28	74	53	52
ENSMUSG00000041779	187	335	249	596	598	189	252
ENSMUSG00000137435	5	7	8	0	7	7	7
ENSMUSG00000099971	0	0	9	0	2	3	3
ENSMUSG00000129840	17	10	10	0	6	0	18
ENSMUSG00000100819	1	0	2	0	0	4	0
ENSMUSG00000129885	13	5	49	13	10	15	55
ENSMUSG00000099343	18	16	23	5	9	3	15
ENSMUSG00000025933	16	42	31	69	30	32	18
ENSMUSG00000102633	8	2	24	10	20	18	29
ENSMUSG00000025934	26	52	61	33	28	43	61
ENSMUSG00000138037	0	0	2	0	0	2	0
ENSMUSG00000096375	0	0	0	0	0	0	0
ENSMUSG00000121505	38	37	100	58	22	59	97
ENSMUSG00000025936	0	0	0	0	0	0	0
ENSMUSG00000141880	8	4	8	6	8	1	11
ENSMUSG00000093963	3	0	1	0	4	0	6
ENSMUSG00000141838	4	4	5	0	4	2	2
ENSMUSG00000067750	2	0	2	8	4	15	9
ENSMUSG00000086194	1	2	5	0	0	10	5
ENSMUSG00000141922	5	18	15	12	13	14	14
ENSMUSG00000094436	0	0	0	0	0	0	0
ENSMUSG00000041722	1	5	5	2	5	19	2
ENSMUSG00000085507	0	1	6	0	0	6	3
ENSMUSG00000094926	0	0	6	0	0	0	9
ENSMUSG00000085079	18	13	30	6	25	29	14
ENSMUSG00000129191	22	17	17	0	4	6	12
ENSMUSG00000085679	0	0	1	0	0	5	3
ENSMUSG00000028033	79	99	135	118	124	64	138
ENSMUSG00000104138	28	34	30	13	30	20	91
ENSMUSG00000128794	5	5	6	0	6	3	8
ENSMUSG00000082935	41	59	50	86	77	36	52
ENSMUSG00000103748	43	44	46	32	64	32	62
ENSMUSG00000124418	7	15	76	46	10	5	37
ENSMUSG00000123368	10	9	20	10	11	14	33
ENSMUSG00000099692	8	5	5	5	7	8	18
ENSMUSG00000140384	4	0	12	2	0	0	11
ENSMUSG00000124412	6	0	5	4	2	3	4
ENSMUSG00000100418	21	6	3	3	2	4	21
ENSMUSG00000128972	6	22	1	7	2	5	15
ENSMUSG00000135509	1	5	6	2	3	16	15
ENSMUSG00000041670	82	95	115	43	75	132	159
ENSMUSG00000097642	8	4	6	4	1	12	13
ENSMUSG00000131366	1	3	5	4	0	0	5
ENSMUSG00000141541	7	2	5	2	13	0	6
ENSMUSG00000128277	3	4	0	0	1	0	0
ENSMUSG00000101468	0	14	15	0	6	3	8
ENSMUSG00000101227	26	45	39	12	4	41	70
ENSMUSG00000073730	2	16	12	2	6	4	30
ENSMUSG00000141721	17	16	22	5	9	13	23
ENSMUSG00000141755	14	4	5	1	7	1	16
ENSMUSG00000089553	2	1	3	1	0	4	6
ENSMUSG00000102766	0	4	0	1	4	9	1
ENSMUSG00000134304	109	162	125	108	129	139	199
ENSMUSG00000065405	0	0	0	1	0	0	0
ENSMUSG00000097970	5	7	8	7	6	7	16
ENSMUSG00000065567	0	0	0	0	0	0	0
ENSMUSG00000100775	3	2	0	1	0	0	0
ENSMUSG00000133147	8	30	14	12	11	6	13
ENSMUSG00000101226	6	4	7	5	1	10	13
ENSMUSG00000026158	377	1086	1227	2171	1882	365	802
ENSMUSG00000138593	21	12	14	7	6	17	32
ENSMUSG00000097920	10	18	19	3	11	6	38
ENSMUSG00000099503	30	35	60	7	12	14	31
ENSMUSG00000142633	0	0	7	6	0	0	4
ENSMUSG00000026156	51	45	81	58	78	87	125
ENSMUSG00000026155	214	365	266	605	492	114	322
ENSMUSG00000141937	4	6	5	1	2	0	12
ENSMUSG00000141893	14	27	21	2	15	6	18
ENSMUSG00000026154	48	103	90	159	132	50	75
ENSMUSG00000102495	9	5	8	6	11	6	15
ENSMUSG00000026153	159	308	195	190	338	157	341
ENSMUSG00000143955	0	0	2	0	0	0	0
ENSMUSG00000102398	14	13	27	9	9	25	23
ENSMUSG00000122847	30	44	37	22	14	60	26
ENSMUSG00000097670	12	25	22	4	2	7	20
ENSMUSG00000026147	89	70	236	34	86	274	109
ENSMUSG00000026141	117	79	152	82	69	117	206
ENSMUSG00000125396	15	18	12	9	6	14	24
ENSMUSG00000125434	5	11	4	2	2	8	3
ENSMUSG00000077463	0	0	0	2	0	6	0
ENSMUSG00000099997	17	19	30	18	16	27	16
ENSMUSG00000100131	9	32	12	25	20	12	43
ENSMUSG00000067736	4	19	4	14	9	10	29
ENSMUSG00000138098	10	4	0	0	3	4	6
ENSMUSG00000101939	0	0	0	0	0	0	0
ENSMUSG00000101111	17	88	11	73	55	25	121
ENSMUSG00000100862	17	69	17	62	47	18	86
ENSMUSG00000102070	16	31	4	26	18	15	50
ENSMUSG00000101249	20	39	16	33	38	5	38
ENSMUSG00000127021	4	8	16	10	3	7	6
ENSMUSG00000073725	419	928	960	1497	1195	243	794
ENSMUSG00000133176	0	1	11	1	11	13	11
ENSMUSG00000129414	2	3	1	0	1	2	5
ENSMUSG00000143216	1	11	16	9	9	5	20
ENSMUSG00000100808	3	0	9	0	8	0	5
ENSMUSG00000130976	8	5	2	1	4	5	11
ENSMUSG00000100483	4	18	11	7	9	8	24
ENSMUSG00000135830	2	9	5	1	2	1	12
ENSMUSG00000100450	1	0	8	0	0	2	6
ENSMUSG00000099392	0	2	8	2	3	3	7
ENSMUSG00000122244	23	14	22	19	12	49	55
ENSMUSG00000033569	183	158	300	90	103	209	215
ENSMUSG00000080849	1	0	1	0	0	2	1
ENSMUSG00000122289	2	11	10	0	2	5	6
ENSMUSG00000104257	4	4	2	2	10	1	4
ENSMUSG00000119153	0	0	0	0	1	0	0
ENSMUSG00000102296	2	7	4	0	0	0	1
ENSMUSG00000103209	28	12	53	21	16	33	55
ENSMUSG00000104027	41	98	100	32	41	54	92
ENSMUSG00000102407	9	38	16	5	4	15	51
ENSMUSG00000103214	65	60	65	31	28	37	30
ENSMUSG00000104100	26	22	40	10	5	9	81
ENSMUSG00000084740	7	1	1	1	0	0	3
ENSMUSG00000103889	39	24	25	40	22	55	56
ENSMUSG00000101301	5	10	5	1	2	10	6
ENSMUSG00000104221	40	28	36	10	2	54	100
ENSMUSG00000102250	68	102	109	29	80	84	125
ENSMUSG00000102317	49	20	63	4	6	55	81
ENSMUSG00000133748	7	4	3	0	8	4	4
ENSMUSG00000103563	11	24	10	17	14	16	38
ENSMUSG00000102465	12	68	37	24	18	27	86
ENSMUSG00000102659	7	10	12	11	2	13	24
ENSMUSG00000103924	42	28	45	18	28	31	84
ENSMUSG00000104132	75	63	86	30	29	121	107
ENSMUSG00000102747	60	139	96	55	70	153	84
ENSMUSG00000102386	11	0	5	2	8	2	28
ENSMUSG00000103004	2	0	0	0	0	3	2
ENSMUSG00000135201	0	0	1	0	0	0	0
ENSMUSG00000104516	0	4	3	0	11	3	6
ENSMUSG00000130306	13	8	17	10	9	17	31
ENSMUSG00000101618	0	8	14	1	4	1	14
ENSMUSG00000099458	4	2	11	2	6	1	1
ENSMUSG00000088111	3	7	2	1	0	3	2
ENSMUSG00000140232	22	55	48	17	23	43	45
ENSMUSG00000073722	9	4	24	16	9	36	18
ENSMUSG00000119695	0	2	6	1	3	13	2
ENSMUSG00000133566	27	19	18	10	12	8	27
ENSMUSG00000100310	0	0	3	0	0	2	1
ENSMUSG00000129952	21	18	16	8	7	23	49
ENSMUSG00000101514	35	33	21	13	19	35	52
ENSMUSG00000101033	0	2	0	0	2	0	5
ENSMUSG00000101372	18	10	28	18	12	11	23
ENSMUSG00000129466	6	14	10	4	13	12	18
ENSMUSG00000141222	3	7	8	3	2	9	12
ENSMUSG00000139702	3	11	11	2	9	14	8
ENSMUSG00000103241	10	10	6	8	6	9	12
ENSMUSG00000086240	4	8	13	14	10	7	6
ENSMUSG00000138065	26	30	57	22	27	81	59
ENSMUSG00000048411	23	20	3	3	1	9	31
ENSMUSG00000081557	20	9	36	0	2	22	10
ENSMUSG00000058590	7	0	9	3	6	3	13
ENSMUSG00000124238	1	2	0	8	0	5	4
ENSMUSG00000101235	2	12	14	6	7	2	11
ENSMUSG00002075209	0	2	2	2	3	3	0
ENSMUSG00002076857	0	2	1	0	0	0	6
ENSMUSG00002074912	3	0	0	0	0	4	2
ENSMUSG00000128221	4	0	11	0	6	5	6
ENSMUSG00000099257	0	0	0	0	0	0	0
ENSMUSG00000099492	8	4	18	24	12	2	4
ENSMUSG00000123191	4	9	5	7	7	12	3
ENSMUSG00000118548	2	10	15	5	11	14	19
ENSMUSG00000101726	0	9	23	2	1	9	10
ENSMUSG00002075317	1	6	6	0	3	2	4
ENSMUSG00000127937	74	87	121	40	63	105	137
ENSMUSG00002075289	0	0	2	4	3	0	1
ENSMUSG00000124992	12	8	8	4	0	2	5
ENSMUSG00000125037	25	20	42	12	6	40	66
ENSMUSG00000053185	24	10	14	12	17	35	39
ENSMUSG00000142156	0	0	5	0	4	1	0
ENSMUSG00000100261	6	29	12	11	13	13	14
ENSMUSG00000101180	0	0	0	0	0	0	2
ENSMUSG00000048874	437	877	822	1360	1383	290	765
ENSMUSG00000103783	26	28	55	36	22	15	41
