Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG000000580763	2312.25	1819.07	3374.52	2149.97	1413	2029.52	1573	1804.01	2266.36	2901.19	2127.19	2231.89	2196.1	1521.98	1465.04	2022	2668	1901	2959.13	2543.03
ENSMUSG00000106767	3.009	3	3.012	2	2.01	1	2.018	2.013	6.018	4	1.003	1	1	1	2	5	4	2.016	1.008	1.002
ENSMUSG00002075530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108447	3.011	1.001	5.124	1.003	2.006	3.007	2.017	2.013	4.679	2.009	8.931	6.151	14.031	7.026	1.002	5.005	2.002	4.01	5.011	4.023
ENSMUSG00000140199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000134154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000270306	373	525	791	454	230	478	448	494	664	733	748	727	762	533	511	888	808	552	648	774
ENSMUSG00000085087	3.001	3.001	4.001	0	1	1	3	1	3.015	0	4.002	1	0	2	0	0	2	2.01	2	1
ENSMUSG00000130964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000138671	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0
ENSMUSG000000618875	1015	957	1339	900	687	984	727	889.999	1270	1396	1046	947.999	919	752	682	905	1037	785.001	1318	997.999
ENSMUSG00000143785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000260114	0	3	0	2	0	1	2	2	0	1	0	0	0	2	1	2	0	0	1	1
ENSMUSG000000595185	1160.01	1027.27	1564.62	1095.12	776.584	1069.89	695.999	937.854	1128.94	1465.65	927.069	934.773	878.311	656.887	625.986	913.07	1104.28	855.964	1354.47	1077.78
ENSMUSG00000123341	0	1.004	0	0	0	1.004	0	0	0	2.003	0	1.001	0	1	0	0	1	0	0	0
ENSMUSG00000060530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071481	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000132615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000126747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000141209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000124133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000120864	1	2	3	2	1.061	0	1	4.269	1	1	2.19	2.092	1	0	3	3	1.064	3	5	1
ENSMUSG00000102433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000127051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00001118663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000124006	0	0	0	0	0	0	0	0	0	0	0	0.933	0	0	0	0	0	0	0	1
ENSMUSG00000111530	0	0	1.013	0	0	0	2.142	0	1.035	0	0	0	0	0	0	1.013	0	0	0	0
ENSMUSG000000626832	206.217	172.287	310.143	168.623	173.869	222.091	101.898	238.249	272.453	178.033	337.091	210.47	265.865	111.909	70.908	169.49	274.513	161.78	321.396	223.106
ENSMUSG00000127762	1	0	3	0	1	0	0	1	2	0	0	3	1	0	0	0	2	2	3	0
ENSMUSG00000102111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076546	0	0	0	0	0	0	0	0.943	0	0	0	0	0	0	0	0	0	0	0	0
