logFC	logCPM	LR	PValue	FDR	Gene_name
ENSMUSG00000027570	-3.29671931146712	3.3483228102894	27.7333958176042	1.39238154264163e-07	0.00048768163531023	Col9a3
ENSMUSG00000030607	-3.5868126506029	3.48188976662972	28.9361358755356	7.48042999987576e-08	0.000299430926566456	Acan
ENSMUSG00000043243	-1.42055112887607	4.99964997030814	18.4300887811878	1.76252827163559e-05	0.0235171629386806	Niban3
ENSMUSG00000008874	-3.76877225266167	0.262778082470394	16.8446089441563	4.05684025903002e-05	0.0435810230355981	Clec3a
ENSMUSG00000144056	-3.33984031532106	1.22554209635421	17.6227616606114	2.69345270531058e-05	0.0324324391405163	ENSMUSG00000144056
ENSMUSG00000039462	-5.09592812287327	4.03952398943085	38.5082355679537	5.452312282539e-10	5.09245967189142e-06	Col10a1
ENSMUSG00000036446	-2.27791648303541	7.89182611412843	24.4119637335401	7.77841446841742e-07	0.0015567940957504	Lum
ENSMUSG00000039084	-2.81060343269528	5.69504581645863	43.2415437254656	4.83824214467258e-11	6.77837724468629e-07	Chad
ENSMUSG00000058914	-2.41845924456306	2.53437066222455	16.3903008326546	5.15483325314906e-05	0.0498063543976678	C1qtnf3
