Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR9126859_1	0.11304206871251482	0.4189168436948119
SRR9126859_2	0.1184296963647377	0.31229044559903757
SRR9126934_1	0.1470551084235199	0.24650547312755575
SRR9126934_2	0.14347595143885858	0.24430843140837386
SRR9127063_1	0.12720746804878244	0.4664746126614152
SRR9127063_2	0.13383721615690702	0.4542036474752045
SRR9127293_1	0.1393104499521739	0.5891334343391982
SRR9127293_2	0.142640813008489	0.4678153844076428
SRR9127308_1	0.14624223317503804	0.47498646165919756
SRR9127308_2	0.14270306053305706	0.4776542470976606
SRR9127357_1	0.2815524573698278	2.4407324927202327
SRR9127357_2	0.27526678287008155	2.453237108067302
SRR9127396_1	0.0	0.0
SRR9127396_2	0.0	0.0
