Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000126455	4	6	5	3	4	8	8	8	11	12	9	18
ENSMUSG00000048538	33	16	21	8	2	6	34	26	19	24	38	29
ENSMUSG00000103709	0	0	1	2	2	4	0	0	0	0	0	2
ENSMUSG00000126493	0	2	5	6	7	5	4	4	3	0	1	3
ENSMUSG00000077244	0	0	0	2	0	3	0	0	1	0	0	0
ENSMUSG00000097797	30	26	34	77	36	64	40	29	36	19	29	38
ENSMUSG00000102768	0	0	0	3	5	0	3	0	1	0	0	0
ENSMUSG00000103498	1	5	12	15	18	6	5	1	6	0	2	4
ENSMUSG00000103067	4	6	4	3	23	24	3	4	3	3	3	2
ENSMUSG00000102320	3	1	1	1	0	0	4	3	0	1	0	0
ENSMUSG00000104226	1	2	1	5	0	15	2	3	1	3	3	4
ENSMUSG00000103903	1	0	4	2	5	10	2	0	1	1	2	0
ENSMUSG00000103557	4	9	1	14	19	8	6	6	8	1	1	2
ENSMUSG00000132588	3	3	2	11	4	12	5	9	1	1	2	0
ENSMUSG00000135709	0	2	2	11	8	11	1	1	4	0	1	5
ENSMUSG00000135722	0	0	0	2	1	8	1	0	1	0	0	0
ENSMUSG000000259097	6	18	12	67	47	89	35	14	22	6	6	12
ENSMUSG00000102647	4	2	5	13	5	10	2	3	5	0	1	5
ENSMUSG00000086235	0	1	1	3	2	4	0	1	2	0	1	0
ENSMUSG00000123533	2	1	0	4	2	3	3	1	5	1	2	2
ENSMUSG00000102253	4	11	10	16	31	38	20	12	6	3	2	10
ENSMUSG00002074990	3	0	1	1	4	1	2	2	4	4	1	3
ENSMUSG00000103884	1	4	7	13	2	12	0	0	7	2	3	3
ENSMUSG00000084353	58	15	38	4	1	2	73	62	51	89	70	47
ENSMUSG00000103933	1	2	5	1	2	2	4	0	3	1	6	4
ENSMUSG00002075967	0	0	1	0	0	0	0	3	0	1	2	0
ENSMUSG00000086195	0	0	0	4	1	2	0	1	1	0	0	0
ENSMUSG00000104504	0	0	1	2	0	6	1	0	1	0	0	0
ENSMUSG00000123491	2	3	2	4	10	2	6	5	2	0	0	1
