gene_names	male_24m_1	male_24m_2	male_24m_4	male_24m_7	male_3m_3	male_3m_5	male_3m_6
ENSMUSG00000051951	Xkr4	0.642207832584834	1.1888273228303	1.25589344984277	-0.934940909680073	0.856228158956178	1.77096269392472	-0.230276067103087
ENSMUSG00000104017	Gm37363	0.21366781452587	0.888907869593499	1.81666750626369	-0.645372756890382	1.52539215143706	1.75594116721486	0.27326919074503
ENSMUSG00000103025	Gm37686	1.52829233592844	1.59821571314016	2.27735240186722	-0.0354383460508174	2.56193007958231	2.08402710315973	0.702307578213489
ENSMUSG00000103201	Gm37329	0.972179538373627	1.3849484041309	2.06253321242649	-0.131654302379811	1.32943295166469	2.78537940419025	-0.0634042933855987
ENSMUSG00000102331	Gm19938	0.985151725967299	0.685287145971444	1.95905760228339	0.429958718336085	1.00265866570729	1.77455699686674	0.274979732163331
ENSMUSG00000142494	ENSMUSG00000142494	0.718701883631091	2.65545717355164	2.36991310841632	-0.395778601652708	2.25878790802608	2.02976056173429	0.367902263073002
ENSMUSG00000025900	Rp1	0.133993492853662	0.982623975143216	1.26772444007761	-0.533429798584603	0.936734619759342	1.21282184693363	-1.10617887315019
ENSMUSG00000025902	Sox17	2.03948385374398	1.14172678411198	1.65553987298632	0.441622020032906	0.537985836341093	1.84241087621334	1.65440082692685
ENSMUSG00000104238	Gm37587	0.905178926038605	0.828452607008263	1.54448033695378	-0.297146252497129	0.0481375468636287	0.756061585461136	0.19957856367969
ENSMUSG00000104328	Gm37323	-0.515698892870883	0.155589561814669	0.850863823843504	-0.633665475539036	0.17857733270613	1.26153538841838	-1.25615786872778
ENSMUSG00000135930	ENSMUSG00000135930	-1.03604442915557	0.469056826217372	1.72281382643166	-0.260331609440573	1.16848759433551	2.20101689424028	0.485550374230083
ENSMUSG00000033845	Mrpl15	2.44038706268466	1.85458420315077	2.77556352230027	2.78716100434451	1.63789878874347	3.15760180131369	2.78155787670151
ENSMUSG00000025903	Lypla1	4.15383008819691	3.90832937131372	4.46154393299989	4.75238669639985	2.69870588981989	4.71058926010973	4.39938488513729
ENSMUSG00000033813	Tcea1	3.5361842633592	2.98274646906969	3.39434498381961	3.60595848527626	2.44563916797577	3.76061581587349	3.6931651797756
