gene_id	SRR9126859_1	SRR9126934_1	SRR9127063_1	SRR9127293_1	SRR9127308_1	SRR9127357_1	SRR9127396_1
ENSMUSG00000000374.9	1.966199	2.966277	2.885323	4.047163	3.09789	0.731338	2.67549
ENSMUSG00000000378.16	0.10567	4.033013	8.167901	9.590822	10.351379	2.043919	5.156389
ENSMUSG00000000381.11	0.281768	0	0	0	0.086292	0	0.191666
ENSMUSG00000000384.16	13.026568	9.232819	12.58974	10.750648	8.68165	6.379294	17.583678
ENSMUSG00000000385.9	0.38487	0.036428	0.538149	0.185814	0.004945	0.447045	0.017924
ENSMUSG00000000386.19	0.46812	0.412556	1.494592	1.205238	1.45847	0.320882	0.225788
ENSMUSG00000000392.18	1.948125	3.692009	4.793441	0.575847	3.652	1.734688	2.517526
ENSMUSG00000000394.16	0.400189	0.046101	0.326999	0	0	0.046878	0.121413
ENSMUSG00000000399.11	8.452257	16.136023	12.662359	22.742618	19.707831	3.445412	16.678833
ENSMUSG00000000402.3	0.028108	0.17483	0.206681	0.122198	0.254085	0.114458	0.089526
ENSMUSG00000000409.15	1.782661	2.288569	4.118467	4.533091	2.445916	0.970333	1.708482
ENSMUSG00000000411.8	0.368264	0.092561	0.262615	0.072785	0.050435	0.070591	0.121885
ENSMUSG00000000416.17	0.328055	0.5488	0.599414	0.141111	0.279109	0.44106	0.948145
ENSMUSG00000000420.16	5.630736	9.797549	16.605749	31.278421	24.121416	2.92912	9.216213
ENSMUSG00000000435.2	0.037625	0	0.221353	0.040899	0.127532	0.105777	0.35957
ENSMUSG00000000439.10	1.081208	2.767592	1.751927	3.617527	2.267843	0.665484	1.823956
ENSMUSG00000000440.13	21.12107	11.507188	9.319406	21.476957	24.476515	0.409824	2.731914
ENSMUSG00000000441.18	4.115059	6.406408	6.043899	7.758997	7.661482	1.859925	3.629566
ENSMUSG00000000486.14	3.700917	5.347079	5.216595	16.337426	9.000447	2.116924	6.84112
ENSMUSG00000000489.8	1.580852	3.336882	1.642593	2.710416	1.705909	0.512249	2.468153
ENSMUSG00000000530.17	3.002642	3.444425	3.628225	8.062735	4.453938	0.409393	3.711904
ENSMUSG00000000531.6	0.406137	1.32339	0.644755	0.798876	0.655539	0.258265	0.985746
ENSMUSG00000000538.19	2.381125	2.13367	2.967969	2.340432	4.242392	1.162821	4.115863
ENSMUSG00000000544.15	0	0	0	0.215488	0	0	0
ENSMUSG00000000552.11	1.267493	1.655962	1.618889	5.213447	1.807878	0.307685	1.744631
ENSMUSG00000000555.9	2.133003	4.299494	2.757635	5.594272	4.111071	0.840095	3.452032
ENSMUSG00000000560.10	1.062747	0.461067	0.980613	1.264088	0.371995	1.509079	1.169145
ENSMUSG00000000561.15	3.287779	3.966966	8.163233	7.829549	6.423863	0.565843	4.327476
ENSMUSG00000000562.6	0.519373	0.484607	0.777023	0.334668	0.536375	0.399409	0.590763
ENSMUSG00000000563.18	25.658418	59.185174	56.629536	87.50554	84.349894	16.694027	53.676353
ENSMUSG00000000567.6	0.328409	0.306265	0.51493	0.270155	0.601425	0.143483	0.28275
ENSMUSG00000000568.16	7.218997	14.56257	14.931556	24.144325	25.548165	1.375157	14.098181
ENSMUSG00000000579.15	7.424097	8.285139	11.194719	10.081123	9.658701	3.281394	8.123702
ENSMUSG00000000581.9	6.547287	8.532509	12.392825	14.722025	12.348884	5.08543	10.943922
ENSMUSG00000000594.8	6.457212	10.819839	11.503136	22.520725	12.662036	2.369223	9.309539
ENSMUSG00000000600.16	9.420493	8.784636	15.254022	10.484573	10.618421	6.424885	17.085008
ENSMUSG00000000605.10	2.963269	6.564896	9.032046	9.803174	9.271073	1.802795	6.519794
ENSMUSG00000000606.20	0.408148	0.282213	0.579799	0.149754	0.266848	0.412954	0.497978
ENSMUSG00000000617.15	0.059162	0.007802	0.14388	0.061248	0.038566	0.055533	0.164756
ENSMUSG00000000627.16	0	0.341901	0.099246	0.416835	0.044332	0.010673	0.09671
ENSMUSG00000000628.11	1.374618	3.164502	0.545832	2.202142	1.316069	0.99545	1.993192
ENSMUSG00000000631.21	2.956597	4.360302	1.967282	3.479195	3.547504	1.781994	3.61573
ENSMUSG00000000632.14	0.19613	0.09762	0.172212	0.033143	0.008183	0.11907	0.170632
ENSMUSG00000000673.10	1.336478	1.907759	5.113149	7.521224	3.176642	1.902503	2.409107
ENSMUSG00000000682.8	45.254942	51.405743	49.006771	66.037129	56.646666	13.967092	33.332189
ENSMUSG00000000686.12	1.066849	2.139208	2.993279	3.713259	3.102079	1.16157	2.292383
