Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000104428	2	0	5	0	8	6	9
ENSMUSG00000102272	3	8	6	0	1	8	14
ENSMUSG00000065625	4	0	5	3	0	0	9
ENSMUSG00000079671	50	43	88	49	24	50	85
ENSMUSG00000103411	12	2	20	6	8	14	26
ENSMUSG00000061024	32	88	80	173	131	35	83
ENSMUSG00000025911	28	64	31	103	39	15	65
ENSMUSG00000081441	2	1	0	0	0	1	0
ENSMUSG00000067879	14	16	21	9	9	12	15
ENSMUSG00000099827	2	1	1	0	6	0	4
ENSMUSG00000025912	62	49	76	23	32	57	61
ENSMUSG00000123215	0	0	1	6	0	7	9
ENSMUSG00000045210	286	559	633	926	791	254	503
ENSMUSG00000097893	19	34	49	35	36	35	51
ENSMUSG00000128816	3	4	10	4	0	0	7
ENSMUSG00000025915	343	601	929	1339	1212	308	638
ENSMUSG00000046334	0	0	0	0	0	0	3
ENSMUSG00002075801	0	6	7	0	1	0	3
ENSMUSG00000098234	61	78	96	191	164	97	130
ENSMUSG00000046101	35	35	46	35	27	34	51
ENSMUSG00000093178	0	0	0	0	0	0	0
ENSMUSG00000099032	10	18	26	15	12	14	13
ENSMUSG00000104025	0	0	0	0	0	0	0
ENSMUSG00000025916	11	15	20	29	29	5	14
ENSMUSG00000087199	7	0	1	0	0	4	0
ENSMUSG00000121270	21	39	34	45	47	28	41
ENSMUSG00000119658	0	0	2	0	0	3	0
ENSMUSG00000025917	151	413	337	701	536	97	323
ENSMUSG00000056763	254	358	412	451	447	279	412
ENSMUSG00000137212	10	9	12	5	4	8	10
ENSMUSG00000102356	0	0	0	0	0	0	0
ENSMUSG00000067851	346	691	630	1154	1005	343	642
ENSMUSG00002076532	7	3	2	3	15	6	6
ENSMUSG00000102556	30	18	33	21	12	30	28
ENSMUSG00000127523	0	9	1	3	3	0	3
ENSMUSG00000123573	0	0	9	0	0	3	8
ENSMUSG00000042501	53	80	89	72	55	52	101
ENSMUSG00000103810	11	14	8	5	8	8	19
ENSMUSG00000130625	12	5	9	6	8	6	9
ENSMUSG00000083422	6	11	18	4	7	5	27
ENSMUSG00000119312	0	1	2	0	0	0	2
ENSMUSG00000137678	1	0	0	1	0	5	0
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000103448	6	1	29	12	4	21	34
ENSMUSG00000100212	4	0	1	0	0	0	0
ENSMUSG00000125508	0	0	5	0	0	1	4
ENSMUSG00000100648	0	0	0	0	2	1	6
ENSMUSG00000130062	0	1	4	2	1	0	7
ENSMUSG00002076499	0	0	2	0	0	0	0
ENSMUSG00000048960	110	225	204	165	178	101	242
ENSMUSG00000127757	7	1	5	0	0	0	2
ENSMUSG00000127802	4	8	3	0	1	18	1
ENSMUSG00000077318	0	0	0	0	0	2	2
ENSMUSG00000101827	0	4	0	0	0	0	3
ENSMUSG00000122491	8	1	5	4	2	9	17
ENSMUSG00000103494	16	19	25	3	2	10	35
ENSMUSG00000143092	5	3	3	2	0	1	11
ENSMUSG00000057715	62	58	84	37	51	79	100
ENSMUSG00000103825	5	16	9	2	12	12	15
ENSMUSG00000099845	3	0	0	0	0	0	4
ENSMUSG00000139014	0	0	0	0	0	0	0
ENSMUSG00000138973	14	4	11	5	2	14	10
ENSMUSG00000103561	16	22	22	29	10	21	19
ENSMUSG00000134440	7	3	14	2	1	8	5
ENSMUSG00000101610	7	1	4	1	9	5	10
ENSMUSG00000141382	4	7	1	2	5	6	7
ENSMUSG00000118923	0	0	0	1	0	5	3
ENSMUSG00000098555	1	4	1	0	0	0	1
ENSMUSG00000143719	5	2	6	2	0	10	9
ENSMUSG00000097628	5	4	11	1	11	5	9
ENSMUSG00000098163	1	5	3	0	4	3	4
ENSMUSG00000097171	8	6	18	6	8	8	23
ENSMUSG00000101314	6	0	9	6	3	7	2
ENSMUSG00000016918	89	258	233	143	364	103	182
ENSMUSG00000127288	4	3	8	6	6	1	10
ENSMUSG00000025938	94	122	155	57	90	85	219
ENSMUSG00000104518	2	2	0	3	0	0	2
ENSMUSG00000141815	10	2	5	6	4	2	8
ENSMUSG00000069620	0	0	0	0	0	0	0
ENSMUSG00000099498	16	11	4	6	9	3	14
ENSMUSG00000042414	2	4	11	1	0	10	20
ENSMUSG00000005886	262	287	390	636	691	178	335
ENSMUSG00000103506	16	30	22	16	18	15	19
ENSMUSG00000103495	13	13	12	18	12	8	19
ENSMUSG00002076346	2	0	0	0	0	0	1
ENSMUSG00000102639	4	5	7	5	2	0	4
ENSMUSG00000104170	15	7	20	16	5	13	23
ENSMUSG00000134412	1	1	5	0	5	6	1
ENSMUSG00000087782	0	0	0	1	1	0	0
ENSMUSG00000103085	13	34	70	47	53	40	69
ENSMUSG00000102664	18	31	25	22	38	19	37
ENSMUSG00000134452	15	11	18	9	6	20	11
ENSMUSG00000101476	12	7	7	3	5	3	13
ENSMUSG00000134491	0	8	4	1	11	0	3
ENSMUSG00000122424	4	2	6	4	3	2	12
ENSMUSG00000101171	1	0	0	0	0	0	3
ENSMUSG00000126000	13	2	5	5	3	5	8
ENSMUSG00000025935	817	1913	2187	4039	3224	407	1395
ENSMUSG00000120948	2	10	7	5	3	3	1
ENSMUSG00000131318	4	1	0	0	0	2	1
ENSMUSG00000025937	99	207	172	313	275	60	196
ENSMUSG00000102982	10	8	9	4	14	19	18
ENSMUSG00000067813	18	2	17	21	6	19	33
ENSMUSG00000077368	0	0	5	0	0	0	0
ENSMUSG00000097711	3	7	11	3	9	6	13
ENSMUSG00000134219	32	25	33	11	12	17	42
ENSMUSG00000102166	11	14	32	3	5	16	30
ENSMUSG00002075174	0	2	1	0	3	4	7
ENSMUSG00000104209	17	4	23	5	3	15	9
ENSMUSG00000025932	53	157	161	106	153	79	143
ENSMUSG00002075819	0	0	0	0	0	0	0
ENSMUSG00000102588	1	3	3	3	0	0	11
ENSMUSG00000127312	6	5	27	7	4	12	23
ENSMUSG00000127278	10	13	13	7	3	14	25
ENSMUSG00000140763	4	2	9	0	4	6	10
ENSMUSG00000140464	2	4	16	1	2	2	12
ENSMUSG00000134469	0	0	3	0	0	1	2
ENSMUSG00000054493	22	32	40	9	7	24	28
ENSMUSG00000025930	20	16	10	17	7	2	11
ENSMUSG00000103492	25	24	55	6	12	25	55
ENSMUSG00000081201	0	0	0	1	1	1	1
ENSMUSG00000082193	3	16	11	3	3	4	7
ENSMUSG00000032769	25	48	56	51	9	17	54
ENSMUSG00000088159	0	0	1	0	0	1	0
ENSMUSG00000125466	11	9	12	6	9	20	14
ENSMUSG00000073737	0	8	1	0	0	1	2
ENSMUSG00000092083	91	66	138	53	88	139	170
ENSMUSG00000128216	2	7	6	0	0	1	5
ENSMUSG00000102937	9	19	24	6	16	17	11
ENSMUSG00000104149	19	10	12	5	4	7	20
ENSMUSG00000137925	15	11	27	7	2	28	25
ENSMUSG00000088829	2	0	1	0	0	0	0
ENSMUSG00000132707	3	0	4	2	2	0	2
ENSMUSG00000077377	2	0	2	0	0	0	0
ENSMUSG00000101652	1	0	0	0	2	3	3
ENSMUSG00000100814	3	0	7	1	0	0	2
ENSMUSG00000132745	14	4	19	4	10	5	12
ENSMUSG00000132786	2	0	4	2	6	1	7
ENSMUSG00000025925	96	219	206	331	258	89	174
ENSMUSG00000104379	2	8	11	0	7	7	13
ENSMUSG00000032719	1	29	2	1	5	0	3
ENSMUSG00002076565	1	4	1	0	6	2	6
ENSMUSG00000137819	2	2	4	1	5	4	3
ENSMUSG00000100652	3	1	1	5	8	2	11
ENSMUSG00000067795	7	3	7	4	5	11	10
ENSMUSG00000136711	5	3	0	0	6	5	3
ENSMUSG00000043716	392	1183	729	1844	1489	250	754
ENSMUSG00000025921	53	104	105	143	116	36	91
ENSMUSG00000132226	4	0	1	4	8	0	10
ENSMUSG00000104165	15	10	19	4	9	20	13
ENSMUSG00000100868	3	6	7	0	5	12	1
ENSMUSG00000025920	87	201	93	203	147	75	179
ENSMUSG00000089982	5	8	24	5	4	12	10
ENSMUSG00000025939	105	197	286	376	367	134	183
ENSMUSG00000102457	0	6	4	7	8	7	9
ENSMUSG00000079658	132	262	232	472	363	89	210
ENSMUSG00000097744	20	14	20	21	10	1	22
ENSMUSG00000100959	2	2	4	7	4	8	11
ENSMUSG00000025940	95	263	183	394	272	64	195
ENSMUSG00000125087	4	5	13	2	7	7	9
ENSMUSG00000025779	27	31	16	40	26	21	26
ENSMUSG00000100093	0	0	0	0	0	3	0
ENSMUSG00000091020	8	1	4	5	0	1	13
ENSMUSG00000142287	13	10	17	7	4	10	22
ENSMUSG00000101640	0	0	3	0	1	2	0
ENSMUSG00000104133	9	3	18	0	8	15	4
ENSMUSG00000042686	61	233	25	141	71	34	180
ENSMUSG00000127806	4	9	7	3	0	4	19
ENSMUSG00000127769	3	3	3	0	2	1	4
