"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","immunoglobulin complex","22","35","173","19699","1.57e-35","4.38e-34","71.57","4.38e-34","3.91e-34","1.93e-37","ENSMUSG00000076680,ENSMUSG00000076672,ENSMUSG00000095351,ENSMUSG00000094075,ENSMUSG00000095130,ENSMUSG00000096833,ENSMUSG00000094335,ENSMUSG00000095007,ENSMUSG00000096459,ENSMUSG00000094940,ENSMUSG00000096326,ENSMUSG00000093896,ENSMUSG00000095889,ENSMUSG00000076609,ENSMUSG00000094694,ENSMUSG00000094420,ENSMUSG00000094433,ENSMUSG00000093861,ENSMUSG00000094356,ENSMUSG00000076666,ENSMUSG00000076549,ENSMUSG00000076617"
"GOTERM_CC_DIRECT","extracellular region","23","35","1759","19699","1.44e-15","2.01e-14","7.36","4.04e-14","1.80e-14","1.78e-16","ENSMUSG00000076680,ENSMUSG00000076672,ENSMUSG00000095351,ENSMUSG00000094075,ENSMUSG00000095130,ENSMUSG00000023078,ENSMUSG00000041202,ENSMUSG00000094335,ENSMUSG00000095007,ENSMUSG00000096459,ENSMUSG00000094940,ENSMUSG00000096326,ENSMUSG00000093896,ENSMUSG00000095889,ENSMUSG00000076609,ENSMUSG00000094694,ENSMUSG00000094420,ENSMUSG00000094433,ENSMUSG00000009185,ENSMUSG00000093861,ENSMUSG00000076666,ENSMUSG00000076613,ENSMUSG00000076617"
"GOTERM_CC_DIRECT","immunoglobulin complex, circulating","3","35","7","19699","6.04e-5","5.64e-4","241.21","1.69e-3","5.03e-4","1.79e-7","ENSMUSG00000076613,ENSMUSG00000076612,ENSMUSG00000076617"
"GOTERM_CC_DIRECT","IgG immunoglobulin complex","3","35","9","19699","1.03e-4","7.23e-4","187.61","2.89e-3","6.46e-4","4.28e-7","ENSMUSG00000076609,ENSMUSG00000076613,ENSMUSG00000076612"
"GOTERM_CC_DIRECT","pentameric IgM immunoglobulin complex","2","35","9","19699","1.54e-2","8.64e-2","125.07","3.53e-1","7.72e-2","1.10e-4","ENSMUSG00000095351,ENSMUSG00000076617"
"GOTERM_CC_DIRECT","extracellular space","6","35","1342","19699","7.84e-2","3.66e-1","2.52","8.98e-1","3.27e-1","2.93e-2","ENSMUSG00000009185,ENSMUSG00000095351,ENSMUSG00000076613,ENSMUSG00000076612,ENSMUSG00000023078,ENSMUSG00000076617"

